============================================================
PAGE 14 — TABLE 1  (accuracy: 100.0, flavor: lattice)
============================================================
|          | 1                        | 2                                                | 3                           | 4                                              | 5                               | 6                            | 7                                 |
| -------- | ------------------------ | ------------------------------------------------ | --------------------------- | ---------------------------------------------- | ------------------------------- | ---------------------------- | --------------------------------- |
| Sl.  No. | Application  No. & Date  | Applicant                                        | Project  Location           | Existing Connectivity  App. No. & Quantum (MW) | Additional  Generation Capacity | SCoD of additional  capacity | Connectivity Granted at           |
| 1        | 2200002621  (25-11-2025) | Bhadla Three SKP Green  Ventures Private Limited | Jaisalmer Distt.  Rajasthan | 0212100033(300MW)                              | 52 MW (Solar)                   | 30-08-2026                   | 220 kV Bhadla-III PS              |
| 2        | 2200002987  (30-12-2025) | Juniper Green Cosmic  Private Limited            | Bikaner Distt.  Rajasthan   | 0412100008 (100MW)                             | 6.88 MW (BESS)                  | 01-01-2026                   | 220 kV  Bikaner-II PS             |
| 3        | 2200003036  (17-01-2026) | Renew Samir Shakti Private  Limited              | Barmer Distt.  Rajasthan    | 1200003514 (100MW)                             | 14.4 MW (Solar)                 | 30-06-2027                   | 400 kV  Fatehgarh-III PS (Sec-II) |
| 4        | 2200003035  (17-01-2026) | Renew Samir Shakti Private  Limited              | Barmer Distt.  Rajasthan    | 1200003504 (100MW)                             | 23.9 MW (Solar)                 | 30-06-2027                   | 400 kV  Fatehgarh-III PS (Sec-II) |
| 5        | 2200003034  (17-01-2026) | Renew Samir Shakti Private  Limited              | Barmer Distt.  Rajasthan    | 1200003562 (100MW)                             | 23.9 MW (Solar)                 | 30-06-2027                   | 400 kV  Fatehgarh-III PS (Sec-II) |
| 6        | 2200003033  (17-01-2026) | IB Vogt Solar Seven  Private Limited             | Barmer Distt.  Rajasthan    | 1200003931 (300MW)                             | 75.8 MW (Solar)                 | 30-06-2027                   | 220 kV  Fatehgarh-III PS (Sec-II) |
| 7        | 2200003041  (19-01-2026) | Renew Solar (Shakti Three)  Private Limited      | Barmer Distt.  Rajasthan    | 1200003447 (300MW)                             | 78.4 MW (Solar)                 | 30-06-2027                   | 400 kV  Fatehgarh-III PS (Sec-II) |
| 8        | 2200003045  (20-01-2026) | Renew Solar (Shakti Five)  Private Limited       | Barmer Distt.  Rajasthan    | 1200003488 (200MW)                             | 11.2 MW (Solar)                 | 30-06-2027                   | 400 kV  Fatehgarh-III PS (Sec-II) |
