============================================================
PAGE 19 — TABLE 1  (accuracy: 99.96, flavor: lattice)
============================================================
|          | 1                        | 2                                            | 3                            | 4                                           | 5                                | 6                              | 7                             | 8                                | 9                                   | 10                                                      |
| -------- | ------------------------ | -------------------------------------------- | ---------------------------- | ------------------------------------------- | -------------------------------- | ------------------------------ | ----------------------------- | -------------------------------- | ----------------------------------- | ------------------------------------------------------- |
| Sl.  No. | Application  No. & Date  | Applicant                                    | Project  Location            | Existing Connectivity App.  No. & Quantum   | Additional  Generation  Capacity | Additional  Capacity  Owned by | SCoD of  Additional  capacity | Additional Drawl  Requested (MW) | Connectivity  Granted at            | Conn BG Requirement                                     |
| 4        | 2200002704  (05-12-2025) | Juna Renewable  Energy Private  Limited      | Bikaner  Distt.  Rajasthan   | 1200003233 (290MW)                          | 150 MW  (BESS 4 Hr)              | Self                           | 08-12-2027                    | NIL                              | 220 kV  Bikaner-II PS               | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 5        | 2200002710  (06-12-2025) | MRS Buildvision  Private Limited             | Bikaner  Distt.  Rajasthan   | 2200000098(1000MW)                          | 850 MW  (BESS 4 Hr)              | Self                           | 30-06-2028                    | NIL                              | 400 kV  Bikaner-III PS              | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 6        | 2200002792  (07-12-2025) | Renew Surya  Roshni Private  Limited         | Jaisalmer  Distt.  Rajasthan | St-II: 1200002628  LTA: 1200003269  (400MW) | 23 MW   (BESS 4 Hr)              | Self                           | 01-01-2026                    | NIL                              | 220 kV   Fatehgarh-III  (Sec-I) PS  | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 7        | 2200002839  (08-12-2025) | Shudh Solar Power  Private Limited           | Bikaner  Distt.  Rajasthan   | 2200000306 (250MW)                          | 300 MW  (BESS 4 Hr)              | Self                           | 17-05-2028                    | NIL                              | 220 kV  Bikaner-IV PS               | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 8        | 2200002853  (08-12-2025) | ACME Cleantech  Solutions Private  Limited   | Barmer  Distt.  Rajasthan    | 2200000161 (400MW)                          | 400 MW  (BESS 4 Hr)              | Self                           | 31-03-2028                    | NIL                              | 220 kV  Barmer-I PS                 | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 9        | 2200002867  (08-12-2025) | Juniper Green  Energy Limited                | Nagaur  Distt.  Rajasthan    | 2200000879 (300MW)                          | 300 MW  (BESS 2 Hr)              | Self                           | 31-03-2028                    | NIL                              | 220 kV  Merta-II PS                 | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 10       | 2200002871  (08-12-2025) | Sprng Akshaya  Urja Private  Limited         | Jaisalmer  Distt.  Rajasthan | 2200000065 (100MW)                          | 60 MW   (BESS 4 Hr)              | Self                           | 29-02-2028                    | NIL                              | 400 kV  Fatehgarh-III   (Sec-II) PS | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 11       | 2200002822  (08-12-2025) | Juniper Green Beta  Private Limited          | Phalodi  Distt.  Rajasthan   | LTA: 0412100013(100MW)                      | 100 MW  (BESS 2 Hr)              | Self                           | 31-03-2028                    | NIL                              | 220 kV  Bhadla-III PS               | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 12       | 2200002821  (08-12-2025) | Juniper Green Beta  Private Limited          | Phalodi  Distt.  Rajasthan   | LTA: 0412100027 (50MW)                      | 50 MW  (BESS 2 Hr)               | Self                           | 31-03-2028                    | NIL                              | 220 kV  Bhadla-III PS               | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 13       | 2200002920  (08-12-2025) | Aditya Birla  Renewables  Subsidiary Limited | Barmer  Distt.  Rajasthan    | 2200000138 (390MW)                          | 80 MW  (Wind)                    | Self                           | 30-06-2028                    | NA                               | 400 kV  Fatehgarh-III  (Sec-II) PS  | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 14       | 2200002897  (09-12-2025) | Juniper Green  Cosmic Private  Limited       | Bikaner  Distt.  Rajasthan   | LTA: 041210000 (100MW)                      | 59 MW   (BESS 2 Hr)              | Self                           | 31-03-2028                    | NIL                              | 220 kV  Bikaner-II PS               | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
| 15       | 2200002925  (09-12-2025) | ABREL (RJ)  Projects Limited                 | Barmer  Distt.  Rajasthan    | 2200000140 (260MW)                          | 60 MW  (Wind)                    | Self                           | 30-06-2028                    | NA                               | 400 kV  Fatehgarh-III   (Sec-II) PS | •  Conn BG-1 : Rs. 50 Lakh  •  Conn BG-3: Rs. 2 lakh/MW |
