============================================================
PAGE 2 — TABLE 1  (accuracy: 98.14, flavor: lattice)
============================================================
|         | 1                     | 2                                                                                                                                             | 3      | 4                                                                                                                          | 5                             | 6                                                                                                                                     | 7                                   | 8                          | 9                                                                                    | 10                                                    | 11                          | 12                                                         | 13                                                                                                                                             | 14                               | 15      | 16                               | 17                                                                    | 18    | 19                                        |
| ------- | --------------------- | --------------------------------------------------------------------------------------------------------------------------------------------- | ------ | -------------------------------------------------------------------------------------------------------------------------- | ----------------------------- | ------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------- | -------------------------- | ------------------------------------------------------------------------------------ | ----------------------------------------------------- | --------------------------- | ---------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------- | ------- | -------------------------------- | --------------------------------------------------------------------- | ----- | ----------------------------------------- |
| Sl. No. | Name of Substation    | 23°22'29.92"N 69° 8'32.39"E Substation Coordinates 23°22'26.60"N 69° 8'55.06"E 23°22'6.44"N 69° 8'43.33"E 23°22'15.91"N 69° 8'24.01"E         | Region | 765/400 kV; 765/400 kV (3rd &  Transformation Capacity (MVA) 4X500 MVA,     4th ); 400/220 KV 5X500 MVA,  400/220 KV (5th, |                               |                                                                                                                                       | RE Capacity Granted  (Connectivity) |                            |                                                                                      |                                                       |                             |                                                            | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |         |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks                                   |
|         |                       |                                                                                                                                               |        | Planned                                                                                                                    | Existing                      | Under  6th ,7th, 8th &  Implementation 9th)                                                                                           | 220kV                               |                            |                                                                                      | 400kV                                                 |                             |                                                            | 220kV*                                                                                                                                         |                                  | 400kV*  |                                  | 220kV                                                                 | 400kV |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | Bay No.                             | Connectivity  Quantum (MW) | Name of Entity                                                                       | Bay No.                                               | Connectivity  Quantum  (MW) | Name of Entity                                             | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No. | Bay-wise Margins  Available (MW) |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 204                                 | 300                        | Inox Wind Infrastructure Services Ltd.                                               |                                                       |                             |                                                            | 204                                                                                                                                            | 0                                |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 202                                 | 300                        | NTPC REL (300)                                                                       |                                                       |                             |                                                            | 202                                                                                                                                            | 0                                |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 205                                 | 350                        | NTPC REL (150+200)                                                                   |                                                       |                             |                                                            | 205                                                                                                                                            | 0                                |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 211                                 | 360                        | SJVN Green Energy Ltd.                                                               |                                                       |                             |                                                            | 211                                                                                                                                            | 0                                |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | Section - B                         |                            |                                                                                      |                                                       |                             |                                                            |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 8                                   | 314                        | ABREL (RJ) Projects Ltd.                                                             |                                                       |                             |                                                            | 8                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 9                                   | 362                        | Aditya Birla Renewables Subsidiary Ltd. (362)                                        |                                                       |                             |                                                            | 9                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 10                                  | 350                        | ACME Cleantech Solutions Pvt. Ltd.                                                   |                                                       |                             |                                                            | 10                                                                                                                                             | 0                                |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 11                                  | 150                        | ACME Cleantech Solutions Pvt. Ltd. (50+100*)                                         |                                                       |                             |                                                            | 11                                                                                                                                             | 150                              |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 12                                  | 300                        | Avaada Energy Pvt. Ltd. (100+200)                                                    |                                                       |                             |                                                            | 12                                                                                                                                             | 0                                |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 13                                  | 375.5                      | Adani Green Energy Thirty-Two Ltd. (300) +  Adani Renewable Energy Eight Ltd. (75.5) |                                                       |                             |                                                            | 13                                                                                                                                             | 0                                |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       |                                     | 4000                       |                                                                                      |                                                       | 1800                        |                                                            |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                           |
| 4       | 400/220kV Bhachau S/s | 23.20613889˚ N, 70.18733333˚ E                                                                                                                | WR     |                                                                                                                            | 2X315 MVA,  400/220 KV        | 1X500 MVA,  400/220 KV                                                                                                                | 210 211                             | 300                        | Ostro Kutch Wind Pvt. Ltd.                                                           |                                                       |                             |                                                            | 210                                                                                                                                            | 300                              |         |                                  | NIL                                                                   | 3     | Availability of line corridor is limited. |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       |                                     |                            |                                                                                      |                                                       |                             |                                                            | 211                                                                                                                                            |                                  |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       | 212 213                             | 350                        | Renew Power Ventures Pvt. Ltd.                                                       |                                                       |                             |                                                            | 212                                                                                                                                            | 250                              |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       |                                     |                            |                                                                                      |                                                       |                             |                                                            | 213                                                                                                                                            |                                  |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       |                                     | 650                        |                                                                                      |                                                       |                             |                                                            |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                           |
| 5       | Khavda PS-I           | Boundary Coordinates: 534252.00 m E 2665370.00 m N 534924.00 m E 2665328.00 m N 534892.00 m E 2664895.00 m N 534253.00 m E 2664935.00 m N     | WR     |                                                                                                                            | 3x1500MVA,  765/400kV (Sec-A) | 1x1500MVA,  765/400kV (Sec-A)   &  4x1500MVA,  765/400kV (Sec- B); 1x1500MVA,  765/400kV (Sec-B)                                      |                                     |                            |                                                                                      | Section-A                                             |                             |                                                            |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       |                                     |                            |                                                                                      | 401 2500 Adani Renewable Energy Holding Four Ltd.     |                             |                                                            |                                                                                                                                                |                                  | 401     |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       |                                     |                            |                                                                                      | 407                                                   |                             |                                                            |                                                                                                                                                |                                  | 407     |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       |                                     |                            |                                                                                      | 404 1000 Adani Renewable Energy Holding Four Ltd.     |                             |                                                            |                                                                                                                                                |                                  | 404     |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       |                                     |                            |                                                                                      | 412 1050 Adani Green Energy Ltd. (1050)               |                             |                                                            |                                                                                                                                                |                                  | 412     |                                  |                                                                       |       |                                           |
|         |                       |                                                                                                                                               |        |                                                                                                                            |                               |                                                                                                                                       |                                     |                            |                                                                                      | Section-B                                             |                             |                                                            |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                           |
