============================================================
PAGE 3 — TABLE 1  (accuracy: 97.99, flavor: lattice)
============================================================
|         | 1                                        | 2                                                                                                                                    | 3      | 4                                                               | 5                                              | 6                                                                                            | 7                                                                                         | 8                          | 9                                                                                    | 10                                | 11                          | 12                                                                                                          | 13                                                                                                                                             | 14                               | 15      | 16                               | 17                                                                    | 18    | 19                                                                                                                                                                            |
| ------- | ---------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------ | ------ | --------------------------------------------------------------- | ---------------------------------------------- | -------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------- | -------------------------- | ------------------------------------------------------------------------------------ | --------------------------------- | --------------------------- | ----------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------- | ------- | -------------------------------- | --------------------------------------------------------------------- | ----- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Sl. No. | Name of Substation                       | Substation Coordinates                                                                                                               | Region | Transformation Capacity (MVA) &  1x1500MVA,  765/400kV (Sec-B)  |                                                |                                                                                              | RE Capacity Granted  (Connectivity)                                                       |                            |                                                                                      |                                   |                             |                                                                                                             | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |         |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks                                                                                                                                                                       |
|         |                                          |                                                                                                                                      |        | Planned                                                         | Existing                                       | Under  Implementation                                                                        | 220kV                                                                                     |                            |                                                                                      | 400kV                             |                             |                                                                                                             | 220kV*                                                                                                                                         |                                  | 400kV*  |                                  | 220kV                                                                 | 400kV |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | Bay No.                                                                                   | Connectivity  Quantum (MW) | Name of Entity                                                                       | Bay No.                           | Connectivity  Quantum  (MW) | Name of Entity                                                                                              | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No. | Bay-wise Margins  Available (MW) |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           |                            |                                                                                      | 8                                 | 1965                        | Adani Green Energy Ltd. (1530+65+100+75+195)                                                                |                                                                                                                                                |                                  | 8 9     |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           |                            |                                                                                      | 9                                 |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           |                            |                                                                                      |                                   | 9740                        |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
| 8       | Khavda PS-IV                             |                                                                                                                                      | WR     | 4x1500MVA,  765/400kV (Sec-A) &   4x1500MVA,  765/400kV (Sec-B) |                                                |                                                                                              |                                                                                           |                            |                                                                                      | Section-A                         |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           |                            |                                                                                      | 1 1250 Adani Power Limited.(1250) |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           |                            |                                                                                      | 2 1250 Adani Power Limited.(1250) |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
