============================================================
PAGE 5 — TABLE 1  (accuracy: 97.96, flavor: lattice)
============================================================
|         | 1                  | 2                                               | 3      | 4                                           | 5                     | 6                                                                | 7                                                  | 8      | 9                                                                                            | 10                                                 | 11   | 12                                                                      | 13                                                                                                                                             | 14  | 15      | 16                               | 17                                                                    | 18    | 19      |
| ------- | ------------------ | ----------------------------------------------- | ------ | ------------------------------------------- | --------------------- | ---------------------------------------------------------------- | -------------------------------------------------- | ------ | -------------------------------------------------------------------------------------------- | -------------------------------------------------- | ---- | ----------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | --- | ------- | -------------------------------- | --------------------------------------------------------------------- | ----- | ------- |
| Sl. No. | Name of Substation | Substation Coordinates                          | Region | Transformation Capacity (MVA)               |                       |                                                                  | RE Capacity Granted  (Connectivity)                |        |                                                                                              |                                                    |      |                                                                         | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |     |         |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks |
|         |                    |                                                 |        | Planned                                     | Existing              | Under  Implementation                                            | 220kV                                              |        |                                                                                              | 400kV                                              |      |                                                                         | 220kV*                                                                                                                                         |     | 400kV*  |                                  | 220kV                                                                 | 400kV |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | Bay No.  Connectivity  Name of Entity Quantum (MW) |        |                                                                                              | Bay No. Connectivity  Name of Entity Quantum  (MW) |      |                                                                         | Bay No. Bay-wise Margins  Available (MW)                                                                                                       |     | Bay No. | Bay-wise Margins  Available (MW) |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 0                                                  |        |                                                                                              | 2000                                               |      |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
| 22      | Solapur PS         | Tentative:  17° 53' 09.30" N; 76° 12' 49.34" E; | WR     | 3x500MVA,  400/220kV                        |                       | 4X500 MVA  400/220 KV                                            | Section-1                                          |        |                                                                                              | Section-1                                          |      |                                                                         |                                                                                                                                                |     |         |                                  | 15                                                                    | 12    |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 1                                                  | 100    | Avaada Energy Pvt. Ltd. (50+50)                                                              |                                                    |      |                                                                         | 1                                                                                                                                              | 200 |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 2                                                  | 400    | Solarcraft Power India 7 Pvt. Ltd.  (50+52.8+47.2+150+50+15+35)                              |                                                    |      |                                                                         | 2                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 3                                                  | 300    | Ganeko Two Energy Pvt. Ltd. (300)                                                            |                                                    |      |                                                                         | 3                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 4                                                  | 450    | JSW Neo Energy Ltd. (300)*+(50) + (100)                                                      |                                                    |      |                                                                         | 4                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 5                                                  | 200    | Skadar Solar Pvt. Ltd. (200)*                                                                |                                                    |      |                                                                         | 5                                                                                                                                              | 100 |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | Section-3                                          |        |                                                                                              | Section-2                                          |      |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 6                                                  | 350    | Juniper Green Energy Pvt. Ltd.                                                               | 1                                                  | 700  | Torrent Urja 18 Pvt. Ltd. (500) + Serentica Renewables India  Pvt.(200) | 6                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 7                                                  | 310    | Inaayu Renewables Pvt. Ltd. (60)+ Green Prairie Energy Pvt. Ltd. (190+60)                    |                                                    |      |                                                                         | 7                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 8                                                  | 340    | Unique Hybrid Global Renewable Energy Pvt. Ltd.  (UHGREPL)                                   |                                                    |      |                                                                         | 8                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  |                                                    | 2450   |                                                                                              |                                                    | 700  |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
| 23      | Lakadia S/s        | 23°23'38.38"N,  70°35'51.81"E                   | WR     |                                             | 2x1500MVA,  765/400kV | 2x500MVA,  400/220kV; 6x500MVA,  400/220kV, 1X1500MVA,  765/400V | Section-A                                          |        |                                                                                              |                                                    |      |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 1                                                  | 250    | Avaada Inclean Pvt. Ltd. (50+200)                                                            |                                                    |      |                                                                         | 1                                                                                                                                              | 50  |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 2                                                  | 300    | Avaada Energy Pvt. Ltd.                                                                      |                                                    |      |                                                                         | 2                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 3                                                  | 300    | TEQ Green Power XVII Private Limited                                                         |                                                    |      |                                                                         | 3                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 4                                                  | 350    | ArcelorMittal Nippon Steel India Limited                                                     |                                                    |      |                                                                         | 4                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 5                                                  | 300    | Renew Solar (Shakti Eight) Pvt. Ltd. (200+100)                                               |                                                    |      |                                                                         | 5                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | Section-B                                          |        |                                                                                              |                                                    |      |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 6                                                  | 300    | Juniper Green Energy Pvt. Ltd.                                                               |                                                    |      |                                                                         | 6                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 7                                                  | 152    | TEQ Green XVI Pvt. Ltd (76+76)                                                               |                                                    |      |                                                                         | 7                                                                                                                                              | 148 |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 8                                                  | 300    | Ganeko Solar Pvt. Ltd.(290+10)                                                               |                                                    |      |                                                                         | 8                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 9                                                  | 350    | Juniper Green Energy Pvt. Ltd. (150+200)                                                     |                                                    |      |                                                                         | 9                                                                                                                                              | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 10                                                 | 400    | Serentica Renewables India Pvt. Ltd. (200+200)                                               |                                                    |      |                                                                         | 10                                                                                                                                             | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 11                                                 | 350    | RDS Solar Park Pvt. Ltd. (350)                                                               |                                                    |      |                                                                         | 11                                                                                                                                             | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 12                                                 | 148    | Percentum Renewables Pvt. Ltd. (148)                                                         |                                                    |      |                                                                         | 12                                                                                                                                             | 0   |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  |                                                    | 3500   |                                                                                              |                                                    | 0    |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
| 24      | Lakadia-II S/s     |                                                 | WR     | 10x500MVA,  400/220kV, 6X1500MVA,  765/400V |                       |                                                                  | Section-1                                          |        |                                                                                              | Section-1                                          |      |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 1                                                  | 300    | Clean Max Solaris Pvt. Ltd.(150MW); Clean Max Alchemy Pvt. Ltd.(150MW)                       | 2 1000 Reliance Industries Ltd. (RIL)              |      |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 2                                                  | 120.9  | TEQ Green Power XIII Private Ltd.                                                            | 3 1000 Reliance Industries Ltd. (RIL)              |      |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 3                                                  | 280    | Hero Solar Energy Private Limited (HSEPL)                                                    |                                                    |      |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 4                                                  | 300    | Avaada Energy Private Limited (AEPL)                                                         |                                                    |      |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
|         |                    |                                                 |        |                                             |                       |                                                                  | 5                                                  | 300    | Azure Power Sixty Three Pvt. Ltd. (AP63PL)                                                   |                                                    |      |                                                                         |                                                                                                                                                |     |         |                                  |                                                                       |       |         |
