============================================================
PAGE 10 — TABLE 1  (accuracy: 98.62, flavor: lattice)
============================================================
|         | 1                                          | 2                                                                                                                                                        | 3      | 4                                               | 5        | 6                                                                                                      | 7                                   | 8                          | 9                                        | 10         | 11                          | 12                                    | 13                                                                                                                                             | 14                               | 15                    | 16                               | 17                                                                    | 18    | 19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| ------- | ------------------------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------------------- | ------ | ----------------------------------------------- | -------- | ------------------------------------------------------------------------------------------------------ | ----------------------------------- | -------------------------- | ---------------------------------------- | ---------- | --------------------------- | ------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------- | --------------------- | -------------------------------- | --------------------------------------------------------------------- | ----- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Sl. No. | Name of Substation                         | Substation Coordinates                                                                                                                                   | Region | Transformation Capacity (MVA)                   |          |                                                                                                        | RE Capacity Granted  (Connectivity) |                            |                                          |            |                             |                                       | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |                       |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|         |                                            |                                                                                                                                                          |        | Planned                                         | Existing | Under  Implementation                                                                                  | 220kV                               |                            |                                          | 400kV      |                             |                                       | 220kV*                                                                                                                                         |                                  | 400kV*                |                                  | 220kV                                                                 | 400kV |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | Bay No.                             | Connectivity  Quantum (MW) | Name of Entity                           | Bay No.    | Connectivity  Quantum  (MW) | Name of Entity                        | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No.               | Bay-wise Margins  Available (MW) |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 45      | 765/400/220kV Kurnool-III PS               | Boundary coordinates 15°01'47.416"N , 78°08'21.156" E 15°01'42.549"N , 78°09'03.340" E 15°01'08.814"N , 78°08'59.204" E 15°01'13.713"N , 78°08'17.023" E | SR     | 4x1500 MVA,  765/400kV                          |          | 3x1500 MVA,  765/400kV &  9x500 MVA,  400/220 kV                                                       | 203                                 | 150                        | AMP Green Energy Pvt.  Ltd.              | 424 &  427 | 600                         | Adani Renewable Energy Forty Two Ltd. | 203                                                                                                                                            | 0                                | 424 &  427 430 &  433 | 0 0                              | 18                                                                    | 4     | New Pooling Station under implementation  in  Kurnool area of AP.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        |                                     | 200                        | AMP Energy Green Pvt.  Ltd.              | 430 &  433 | 1250                        | Adani Renewable Energy Fifty One Ltd. |                                                                                                                                                |                                  |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 205                                 | 100                        | Amp Energy CI Twelve Pvt. Ltd.           | 436        | 800                         | Indosol Solar Pvt. Ltd.               | 205                                                                                                                                            | 0                                | 436                   | 0                                |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 3                                   | 270                        | Hero Solar Energy Pvt. Ltd.              | 439        | 900                         | Indosol Solar Pvt. Ltd.               | 3                                                                                                                                              | 0                                | 439                   | 0                                |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 207                                 | 300                        | SAEL Industries Ltd.                     | 442        | 900                         | Indosol Solar Pvt. Ltd.               | 207                                                                                                                                            | 0                                | 442                   | 0                                |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 209                                 | 300                        | SAEL Industries Ltd.                     | 445        | 900                         | Indosol Solar Pvt. Ltd.               | 209                                                                                                                                            | 0                                | 445                   | 0                                |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 213                                 | 400                        | Acme Cleantech Solutions Pvt. Ltd        |            |                             |                                       | 213                                                                                                                                            | 0                                |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 215                                 | 270                        | Hero Solar Energy Pvt. Ltd.              |            |                             |                                       | 215                                                                                                                                            | 0                                |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 211                                 | 130                        | Amplus Everest Solar Pvt. Ltd.           |            |                             |                                       | 211                                                                                                                                            | 0                                |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        |                                     | 130                        | Amplus Iifa Solar Pvt. Ltd.              |            |                             |                                       |                                                                                                                                                |                                  |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        |                                     | 2250                       |                                          |            | 5350                        |                                       |                                                                                                                                                | 0                                |                       | 0                                |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 46      | 400/220kV Ananthapuram PS                  | Boundary coordinates 15°09'16.74"N , 77°25'49.14" E 15°09'0.32"N , 77°25'25.99" E 15°08'44.81"N , 77°25'34.83" E 15°09'1.14"N , 77°25'59.46" E           | SR     |                                                 |          | 7x500 MVA,  400/220 kV                                                                                 | 203                                 | 295                        | Project Nine Renewable Power  Pvt.  Ltd. | 422 &  425 | 1710                        | Renew Vikram Shakti Pvt. Ltd. #       | 203                                                                                                                                            | 0                                | 422 &  425 419        |                                  | 11                                                                    | 3     | New Pooling Station under implementation  in  Ananthapuram area of AP.  # As per CERC directions, 3 nos. of 400kV bays  reserved for the applications of Renew Vikram  Shakti Pvt. Ltd.(1710 ) & Acme Cleantech  Solutions Pvt. Ltd.(400 + 400 ). Further,  Hon'ble  High Court of Andhra Pradesh has directed that  "Any connectivity that has been done pursuant to  the orders dated 30.08.2023 is however subject  to outcome of the writ petition" Ananthapuram PS has been closed for all purpose  regarding grant of Connectivity and addition of RE  generation capacity. |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        |                                     | 50                         | Ayana Renewable Power Four Pvt. Ltd      | 419        | 250                         | ABC Cleantech Pvt. Ltd.               |                                                                                                                                                |                                  |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 205                                 | 150                        | Seven Renewable  Power Pvt. Ltd.         |            | 250                         | ABC CT RE Park (01) Pvt. Ltd          | 205                                                                                                                                            | 0                                |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 201                                 | 400                        | Acme Cleantech Solutions Pvt. Ltd        |            | 250                         | ABC CT RE Park (02) Pvt. Ltd          | 201                                                                                                                                            | 0                                |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 207                                 | 160                        | Renew Vikram Shakti Pvt. Ltd.            |            | 250                         | ABC CT RE Park (03) Pvt. Ltd          | 207                                                                                                                                            | 0                                |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        |                                     | 140                        | Renew Vikram Shakti Pvt. Ltd.            |            |                             |                                       |                                                                                                                                                |                                  |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        | 209                                 | 350                        | Amplus Cenedus Solar Pvt. Ltd.           |            |                             |                                       | 209                                                                                                                                            | 0                                |                       |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         |                                            |                                                                                                                                                          |        |                                                 |          |                                                                                                        |                                     | 1545                       |                                          |            | 2710                        |                                       |                                                                                                                                                | 0                                |                       | 0                                |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
