============================================================
PAGE 12 — TABLE 1  (accuracy: 99.12, flavor: lattice)
============================================================
|         | 1                            | 2                                                                                                                                                    | 3      | 4                                                 | 5                                           | 6                                                | 7                                   | 8                          | 9                                                                                          | 10                               | 11                          | 12                                                                                                      | 13                                                                                                                                             | 14                               | 15                               | 16                               | 17                                                                    | 18    | 19                                                                                                                                 |
| ------- | ---------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------- | ------ | ------------------------------------------------- | ------------------------------------------- | ------------------------------------------------ | ----------------------------------- | -------------------------- | ------------------------------------------------------------------------------------------ | -------------------------------- | --------------------------- | ------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------- | -------------------------------- | -------------------------------- | --------------------------------------------------------------------- | ----- | ---------------------------------------------------------------------------------------------------------------------------------- |
| Sl. No. | Name of Substation           | Substation Coordinates                                                                                                                               | Region | Transformation Capacity (MVA)                     |                                             |                                                  | RE Capacity Granted  (Connectivity) |                            |                                                                                            |                                  |                             |                                                                                                         | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |                                  |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks                                                                                                                            |
|         |                              |                                                                                                                                                      |        | Planned                                           | Existing                                    | Under  Implementation                            | 220kV                               |                            |                                                                                            | 400kV                            |                             |                                                                                                         | 220kV*                                                                                                                                         |                                  | 400kV*                           |                                  | 220kV                                                                 | 400kV |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | Bay No.                             | Connectivity  Quantum (MW) | Name of Entity                                                                             | Bay No.                          | Connectivity  Quantum  (MW) | Name of Entity                                                                                          | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No.                          | Bay-wise Margins  Available (MW) |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  |                                     | 5472.7                     |                                                                                            |                                  | 1900 300                    |                                                                                                         |                                                                                                                                                | 260                              |                                  | 800                              |                                                                       |       |                                                                                                                                    |
| 53      | 765/400/220kV Kurnool-IV PS  | Boundary Coordinates 15°29'45.12"N 77°14'45.55"E 15°29'34.80"N 77°15'7.31"E 15°29'5.14"N 77°14'52.80"E 15°29'14.01"N 77°14'29.24"E                   | SR     | 2x1500 MVA,  765/400kV &  10x500 MVA,  400/220 kV |                                             | 4x1500 MVA,  765/400kV &  4x500 MVA,  400/220 kV | 1                                   | 250                        | SAEL Industries Ltd.                                                                       | 1                                |                             | NTPC RENEWABLE ENERGY LIMITED                                                                           | 1                                                                                                                                              | 50                               | 1                                | 0                                | 6                                                                     | 10    | New Pooling Station under bidding  in Kurnool  area of AP. *Agreed for grant                                                       |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 2                                   | 300                        | SAEL Industries Ltd.                                                                       |                                  | 600                         | NTPC RENEWABLE ENERGY LIMITED                                                                           | 2                                                                                                                                              | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 3                                   | 400                        | TATA Power Renewable Energy Ltd.                                                           | 2                                | 500                         | Waaree Forever Energies Private Limited*                                                                | 3                                                                                                                                              | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 4                                   | 230                        | Gentari Renewable India Castor One Pvt. Ltd.                                               |                                  |                             |                                                                                                         | 4                                                                                                                                              | 70                               |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 5                                   | 300                        | Pratapati Energy (Seven) Private Limited                                                   |                                  |                             |                                                                                                         | 5                                                                                                                                              | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 7                                   | 300                        | Vitalgreen Power Pvt. Ltd.                                                                 |                                  |                             |                                                                                                         | 7                                                                                                                                              | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 9                                   | 300                        | ESSAR RENEWABLES LIMITED                                                                   |                                  |                             |                                                                                                         | 9                                                                                                                                              | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 10                                  | 300                        | NTPC RENEWABLE ENERGY LIMITED                                                              |                                  |                             |                                                                                                         | 10                                                                                                                                             | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 11                                  | 300                        | NTPC RENEWABLE ENERGY LIMITED                                                              |                                  |                             |                                                                                                         | 11                                                                                                                                             | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 12                                  | 300                        | Clean Renewable  Energy Hybrid Two Private Limited*                                        |                                  |                             |                                                                                                         | 12                                                                                                                                             | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 13                                  | 250                        | Avaada Energy Private Limited*                                                             |                                  |                             |                                                                                                         | 13                                                                                                                                             | 50                               |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 14                                  | 300                        | Clean Renewable Energy Hybrid Four Private Limited*                                        |                                  |                             |                                                                                                         | 14                                                                                                                                             | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 15                                  | 300                        | Tata Power Renewable Energy Ltd.*                                                          |                                  |                             |                                                                                                         | 15                                                                                                                                             | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 16                                  | 360                        | ESSAR RENEWABLES LIMITED*                                                                  |                                  |                             |                                                                                                         | 16                                                                                                                                             | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 17                                  | 400                        | Serentica Renewables India Private Limited*                                                |                                  |                             |                                                                                                         | 17                                                                                                                                             | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 18                                  | 300                        | Bhalki Solar Power Private Limited*                                                        |                                  |                             |                                                                                                         | 18                                                                                                                                             | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 19                                  | 100                        | EG ELECTRICIA ENERGY PRIVATE LIMITED*                                                      |                                  |                             |                                                                                                         | 19                                                                                                                                             | 200                              |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 20                                  | 250                        | ABC CT RE Park (04) Pvt. Ltd.*                                                             |                                  |                             |                                                                                                         | 20                                                                                                                                             |                                  |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  |                                     | 5240                       |                                                                                            |                                  | 1400                        |                                                                                                         |                                                                                                                                                | 370                              |                                  |                                  |                                                                       |       |                                                                                                                                    |
| 54      | 765/400/220kV Bhadla PS #    | 27 25 10 N, 72 04 20E                                                                                                                                | NR     |                                                   | 3x1500MVA,  765/400kV, 8x500MVA,  400/220kV |                                                  | 203 205                             | 250                        | Adani Renewable Energy Park Rajasthan Ltd                                                  | 0                                | 0                           |                                                                                                         | 1                                                                                                                                              | 0                                |                                  |                                  |                                                                       |       | No more evacuation can be accommodated due  to system capacity constraints in existing /  planned system.                          |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  |                                     |                            |                                                                                            |                                  |                             |                                                                                                         | 2                                                                                                                                              |                                  |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 206 207                             | 500                        | Saurya Urja Company of Rajasthan Ltd.                                                      |                                  |                             |                                                                                                         | 3                                                                                                                                              | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  |                                     |                            |                                                                                            |                                  |                             |                                                                                                         | 4                                                                                                                                              |                                  |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 225 226                             | 750                        | Essel Saurya Urja Company of Rajasthan Ltd.                                                |                                  |                             |                                                                                                         | 225                                                                                                                                            | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  |                                     |                            |                                                                                            |                                  |                             |                                                                                                         | 226                                                                                                                                            |                                  |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 237                                 | 130                        | Azure Power India Pvt. Ltd                                                                 |                                  |                             |                                                                                                         | 237                                                                                                                                            | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
