============================================================
PAGE 13 — TABLE 1  (accuracy: 99.26, flavor: lattice)
============================================================
|         | 1                                                           | 2                                                                                                                                                                                                             | 3      | 4                                             | 5                                          | 6                                                                                                                              | 7                                                                 | 8                              | 9                                                                                                                                 | 10                | 11                          | 12                                                                                                                                                                                 | 13                                                                                                                                             | 14                               | 15                | 16                               | 17                                                                    | 18    | 19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| ------- | ----------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------ | --------------------------------------------- | ------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------ | ----------------------------------------------------------------- | ------------------------------ | --------------------------------------------------------------------------------------------------------------------------------- | ----------------- | --------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------- | ----------------- | -------------------------------- | --------------------------------------------------------------------- | ----- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Sl. No. | Name of Substation                                          | Substation Coordinates                                                                                                                                                                                        | Region | Transformation Capacity (MVA)                 |                                            |                                                                                                                                | RE Capacity Granted  (Connectivity)                               |                                |                                                                                                                                   |                   |                             |                                                                                                                                                                                    | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |                   |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|         |                                                             |                                                                                                                                                                                                               |        | Planned                                       | Existing                                   | Under  Implementation                                                                                                          | 220kV                                                             |                                |                                                                                                                                   | 400kV             |                             |                                                                                                                                                                                    | 220kV*                                                                                                                                         |                                  | 400kV*            |                                  | 220kV                                                                 | 400kV |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | Bay No.                                                           | Connectivity  Quantum (MW) 600 | Name of Entity Project Nine Renewable Power Private Limited (450MW)                                                               | Bay No.           | Connectivity  Quantum  (MW) | Name of Entity                                                                                                                                                                     | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No.           | Bay-wise Margins  Available (MW) |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | A203                                                              |                                | Solarcraft Power India 4 Pvt. Ltd. (150MW)                                                                                        |                   |                             |                                                                                                                                                                                    | A203                                                                                                                                           | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | A205                                                              | 300                            | AMP Energy Green Private Limited (100+ 100+100)                                                                                   |                   |                             |                                                                                                                                                                                    | A205                                                                                                                                           | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | A206                                                              | 320                            | Avaada Energy Pvt. Ltd.                                                                                                           |                   |                             |                                                                                                                                                                                    | A206                                                                                                                                           | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | A209                                                              | 300                            | Solarpack Corporacion Technologica S.A.                                                                                           |                   |                             |                                                                                                                                                                                    | A209                                                                                                                                           | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                |                                                                   | 3895                           |                                                                                                                                   |                   | 2050                        |                                                                                                                                                                                    |                                                                                                                                                | 0                                |                   | 0                                |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 58      | 765/400/220kV Fatehgarh-II PS #                             | Boundary Coordinates Point1:- N 26°42'13.3884",    E 71°16'48.936 Point2:- N 26°42'13.5936",    E 71°16'19.9956" Point3:- N 26°42'45.9396",    E 71°16'19.8588" Point4:- N 26°42'45.6912",    E 71°16'48.666" | NR     | 1x1500 MVA,  765/400kV,  2x500MVA,  400/220kV | 5x1500MVA,  765/400kV 9X500MVA,  400/220kV | 1x1500MVA,  765/400kV                                                                                                          | 211 212                                                           | 390                            | Adani Renewable Energy Holding One Ltd. (erstwhile Mahoba Solar (UP) Pvt. Ltd.)                                                   | Main- 438 Tie-437 | 1000                        | ACME Cleantech Solutions Pvt. Ltd.  (600MW+250MW+150MW)                                                                                                                            | 211                                                                                                                                            | 0                                | Main- 438 Tie-437 |                                  |                                                                       |       | No more evacuation can be accommodated due  to system capacity constraints in existing /  planned system. 220kV existing bays (2 nos)  available for BESS/Syncon etc                                                                                                                                                                                                                                                                                                                                                                                                                         |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                |                                                                   |                                |                                                                                                                                   |                   |                             |                                                                                                                                                                                    | 212                                                                                                                                            |                                  |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | 218                                                               | 300                            | ReNew Solar Energy (Jharkhand Four) Pvt. Ltd.                                                                                     |                   |                             |                                                                                                                                                                                    | 218                                                                                                                                            | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | 203                                                               | 300                            | Eden Renewable Cite Pvt. Ltd                                                                                                      |                   |                             |                                                                                                                                                                                    | 203                                                                                                                                            | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | 221                                                               | 300                            | ReNew Solar Energy (Jharkhand Four) Pvt. Ltd.                                                                                     |                   |                             |                                                                                                                                                                                    | 221                                                                                                                                            | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | 220                                                               | 300                            | ReNew Solar Energy (Jharkhand Three) Private Limited                                                                              |                   |                             |                                                                                                                                                                                    | 220                                                                                                                                            | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | 209                                                               | 300                            | Adani Hybrid Energy Jaisalmer Two Ltd. (erstwhile Adani Green Energy Seven Limited)                                               |                   |                             |                                                                                                                                                                                    | 209                                                                                                                                            | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | 210                                                               | 300                            | Adani Hybrid Energy Jaisalmer Three Ltd. (erstwhile Adani Green Energy Nine Limited)                                              |                   |                             |                                                                                                                                                                                    | 210                                                                                                                                            | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | A220 A221                                                         | 450                            | SBE Renewables Ten Private Limited                                                                                                |                   |                             |                                                                                                                                                                                    | A220                                                                                                                                           | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                |                                                                   |                                |                                                                                                                                   |                   |                             |                                                                                                                                                                                    | A221                                                                                                                                           |                                  |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | 202                                                               | 300                            | Renew Solar Urja Private Limited                                                                                                  |                   |                             |                                                                                                                                                                                    | 202                                                                                                                                            | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | A222                                                              | 240                            | NTPC Ltd. (150+90)                                                                                                                |                   |                             |                                                                                                                                                                                    | A222                                                                                                                                           | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|         |                                                             |                                                                                                                                                                                                               |        |                                               |                                            |                                                                                                                                | A209 A210                                                         | 500                            | Adani Renewable Energy Holding Four Ltd. (erstwhile Adani Green Energy Four Limited)                                              |                   |                             |                                                                                                                                                                                    | A209                                                                                                                                           | 0                                |                   |                                  |                                                                       |       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
