============================================================
PAGE 15 — TABLE 1  (accuracy: 98.86, flavor: lattice)
============================================================
|            | 1                                             | 2                                                                                                                                                                                                                 | 3         | 4                                          | 5        | 6                     | 7                                   | 8                          | 9                                                                                                                | 10      | 11                          | 12                                                                     | 13                                                                                                                                             | 14                               | 15      | 16                               | 17                                                                    | 18    | 19                                                                                                                                                                  |
| ---------- | --------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------- | ------------------------------------------ | -------- | --------------------- | ----------------------------------- | -------------------------- | ---------------------------------------------------------------------------------------------------------------- | ------- | --------------------------- | ---------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------- | ------- | -------------------------------- | --------------------------------------------------------------------- | ----- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Sl. No. 67 | Name of Substation 765/400/220kV Bhadla-IV PS | Substation Coordinates Location yet to be identified                                                                                                                                                              | Region NR | Transformation Capacity (MVA)              |          |                       | RE Capacity Granted  (Connectivity) |                            |                                                                                                                  |         |                             |                                                                        | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |         |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks Tr. System under planning.                                                                                                                                  |
|            |                                               |                                                                                                                                                                                                                   |           | Planned Under Planning                     | Existing | Under  Implementation | 220kV                               |                            |                                                                                                                  | 400kV   |                             |                                                                        | 220kV*                                                                                                                                         |                                  | 400kV*  |                                  | 220kV                                                                 | 400kV |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | Bay No.                             | Connectivity  Quantum (MW) | Name of Entity                                                                                                   | Bay No. | Connectivity  Quantum  (MW) | Name of Entity                                                         | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No. | Bay-wise Margins  Available (MW) |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     |                            |                                                                                                                  | 4       | 1360                        | Avaada Energy Pvt. Ltd. (700MW) Avaada RJSustainable Pvt. Ltd. (660MW) |                                                                                                                                                |                                  | 4       | 0                                |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     |                            |                                                                                                                  | 5       | 2000                        | Aright Foods And Energy Private Limited                                |                                                                                                                                                |                                  | 5       | 0                                |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     |                            |                                                                                                                  | 6       |                             |                                                                        |                                                                                                                                                |                                  | 6       | 0                                |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     | 300                        |                                                                                                                  |         | 5525                        |                                                                        |                                                                                                                                                |                                  |         | 175                              |                                                                       |       |                                                                                                                                                                     |
| 68         | 765/400/220kV Sirohi S/s#                     | Boundary Coordinates* Point1:- 25° 5'17.12"N,  72°47'45.20"E Point2:- 25° 5'4.97"N,   72°47'13.43"E Point3:- 25° 4'42.39"N, 72°47'33.31"E Point4:- 25° 5'1.36"N    72°47'52.69" E                                 | NR        | 2x1500MVA,  765/400kV, 4x500MVA, 400/220kV |          |                       | 1                                   | 300                        | CESC Ltd.                                                                                                        | 1       | 700                         | ReNew Solar Power Pvt. Ltd. (400+300)                                  | 1                                                                                                                                              | 0                                | 1       | 0                                |                                                                       |       | No more evacuation can be accommodated due  to system capacity constraints in existing /  planned system                                                            |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 2                                   | 300                        | Illuminate Hybren Private Limited                                                                                |         |                             |                                                                        | 2                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 3                                   | 300                        | Serentica Renewables India Private Limited                                                                       |         |                             |                                                                        | 3                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 4                                   | 200                        | Izhma Solar Private Limited                                                                                      |         |                             |                                                                        | 4                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 5                                   | 300                        | Vayuna Renewables India Project Pvt. Ltd.                                                                        |         |                             |                                                                        | 5                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     | 1400                       |                                                                                                                  |         | 700                         |                                                                        |                                                                                                                                                | 0                                |         | 0                                |                                                                       |       |                                                                                                                                                                     |
| 69         | 765/400/220kV Merta-II PS                     | Boundary Coordinates* Corner-1:- 26° 49' 24.02" N,  74° 02' 15.46" E Corner-2:- 26° 49' 28.49" N,  74° 02' 46.96" E Corner-3:- 26° 49' 09.18" N,  74° 02' 57.17" E Corner-4:- 26° 48' 58.96" N,  74° 02' 27.30" E | NR        | 2x1500MVA,  765/400kV 5x500MVA,  400/220kV |          |                       | 1                                   | 300                        | Purvah Green Power Private Limited                                                                               |         |                             |                                                                        | 1                                                                                                                                              | 0                                |         |                                  |                                                                       |       | No more evacuation can be accommodated due  to system capacity constraints in existing /  planned system                                                            |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 2                                   | 300                        | Green Infra Wind Energy Private Limited                                                                          |         |                             |                                                                        | 2                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 3                                   | 300                        | Green Infra Wind Energy Private Limited                                                                          |         |                             |                                                                        | 3                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 4                                   | 300                        | Banyan Energy Private Limited                                                                                    |         |                             |                                                                        | 4                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 5                                   | 300                        | Juniper Green Energy Private Limited                                                                             |         |                             |                                                                        | 5                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 6                                   | 300                        | Acme Solar Holdings Private Limited                                                                              |         |                             |                                                                        | 6                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 7                                   | 300                        | Hexa Climate Solutions Private Limited                                                                           |         |                             |                                                                        | 7                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     | 2100                       |                                                                                                                  |         |                             |                                                                        |                                                                                                                                                | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
| 70         | 765/400/220kV Merta-III PS                    | Location yet to be identified                                                                                                                                                                                     | NR        | To be planned                              |          |                       | 1                                   | 300                        | Enren-III Energy Private Limited                                                                                 |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       | 3GW RE Potential is identified in Merta Complex.  Out of this, 2.1GW Connectivity granted at Merta- II PS. For balance 1GW, Merta-III is proposed to  be developed. |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     |                            |                                                                                                                  |         |                             |                                                                        | 1 2                                                                                                                                            |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     | 300                        |                                                                                                                  |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
| 71         | 765/400/220kV Barmer-II PS                    | Location yet to be identified                                                                                                                                                                                     | NR        | Under Planning                             |          |                       | 1                                   | 230                        | Green Infra Clean Solar Farms Limited (130MW)                                                                    | 1       | 900                         | NTPC Renewable Energy Limited (300+500+100*)                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       | No more evacuation can be accommodated due  to system capacity constraints in existing /  planned system                                                            |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 2                                   | 400                        | Sprng Renewable Resources Private Limited (200MW)                                                                | 2       | 1000                        | Sprng Urja Private Limited                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 3                                   | 200                        | Sprng Urja Private Limited (200MW)                                                                               | 3       | 717                         | Adani Renewable Energy Holding Four                                    |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 4                                   | 450                        |                                                                                                                  | 4       | 1195                        | Adani Renewable Energy Holding Four                                    |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 5                                   | 300                        | Amaresha Renawables India Project Private Limited                                                                |         |                             | Limited (600+595)                                                      |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 6                                   | 300                        | ReNew Solar Power Private Limited                                                                                |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
